trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
257,False,"{'a': 0.75, 'e': 0.7429999999999998}",20,0,-103.26239887191959,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
258,False,"{'a': 0.75, 'e': 0.7419999999999998}",25,14,19.829888818093586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.75, 'e': 0.7409999999999998}",20,0,-94.71277279493572,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
260,False,"{'a': 0.75, 'e': 0.7399999999999998}",25,13,-29.650388988871992,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
261,False,"{'a': 0.75, 'e': 0.7389999999999998}",25,0,-66.3186017091744,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
262,False,"{'a': 0.75, 'e': 0.7379999999999998}",20,2,-22.77322416040727,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
263,False,"{'a': 0.75, 'e': 0.7369999999999998}",25,0,-146.2989287159482,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
264,False,"{'a': 0.75, 'e': 0.7359999999999998}",30,0,-54.98684954568671,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
265,False,"{'a': 0.75, 'e': 0.7349999999999998}",20,0,-148.4607188722281,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
266,False,"{'a': 0.75, 'e': 0.7339999999999998}",25,0,-99.97020639471775,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
267,False,"{'a': 0.75, 'e': 0.7329999999999998}",20,0,-126.27269734251767,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
268,False,"{'a': 0.75, 'e': 0.7319999999999998}",20,0,-39.34705705887883,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
269,False,"{'a': 0.75, 'e': 0.7309999999999998}",20,13,0.07393404784667945,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.75, 'e': 0.7299999999999998}",20,7,-22.126395552555046,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
271,False,"{'a': 0.75, 'e': 0.7289999999999998}",20,0,-110.76829841411258,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
272,False,"{'a': 0.75, 'e': 0.7279999999999998}",25,9,-49.82170829349649,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
273,False,"{'a': 0.75, 'e': 0.7269999999999998}",20,0,-55.78805737152332,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
274,False,"{'a': 0.75, 'e': 0.7259999999999998}",35,9,-157.37831930269854,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 3}",1
275,False,"{'a': 0.75, 'e': 0.7249999999999998}",20,0,-7.917552886390649,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
276,False,"{'a': 0.75, 'e': 0.7239999999999998}",20,0,-45.34616638293754,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
277,False,"{'a': 0.75, 'e': 0.7229999999999998}",30,0,-27.80828418646001,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
278,False,"{'a': 0.75, 'e': 0.7219999999999998}",20,0,-82.91976088918723,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
279,False,"{'a': 0.75, 'e': 0.7209999999999998}",20,0,-58.005668663794445,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
280,False,"{'a': 0.75, 'e': 0.7199999999999998}",25,0,-30.28598429679242,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
281,False,"{'a': 0.75, 'e': 0.7189999999999998}",20,0,-27.284807153336345,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
282,False,"{'a': 0.75, 'e': 0.7179999999999997}",25,0,-86.43549923242776,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
283,False,"{'a': 0.75, 'e': 0.7169999999999997}",30,0,-111.87587908711029,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
